graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,0,1,True,False,False,0.0,1.0,0.0,0.0,0.0,13.7442,1.2,-8.092
0,1,2,True,False,False,0.0,0.0,1.0,0.0,0.0,8.412182,0.1,-6.579853
0,2,3,True,False,False,0.0,0.0,0.0,1.0,0.0,12.4942,6.075,-5.9431
0,3,3,True,False,False,0.0,0.0,0.0,1.0,0.0,9.6542,1.3,-7.7406
0,4,3,True,False,False,0.0,0.0,0.0,1.0,0.0,9.6542,1.3,-6.1156
0,5,2,True,False,False,0.0,0.0,1.0,0.0,0.0,7.970916,-1.000215,-6.354008
0,6,0,True,False,False,0.0,0.0,0.0,0.0,0.0,13.7442,-0.15,-8.092
0,7,0,True,False,False,0.0,0.0,0.0,0.0,0.0,8.2442,-0.15,-2.8431
0,8,4,True,False,False,0.0,0.0,0.0,0.0,1.0,7.44945,1.3,-8.8181
0,9,4,True,False,False,0.0,0.0,0.0,0.0,1.0,6.82445,6.075,-8.8181
0,10,3,True,False,False,0.0,0.0,0.0,1.0,0.0,12.6317,8.525,-5.9431
0,11,0,True,False,False,0.0,0.0,0.0,0.0,0.0,5.4942,-0.15,-2.8431
0,12,3,True,False,False,0.0,0.0,0.0,1.0,0.0,12.5442,3.625,-5.9431
0,13,4,True,False,False,0.0,0.0,0.0,0.0,1.0,6.87445,3.625,-8.5681
0,14,0,True,False,False,0.0,0.0,0.0,0.0,0.0,2.7442,-0.15,-2.8431
0,15,1,True,False,False,0.0,1.0,0.0,0.0,0.0,2.7442,1.2,-2.8431
0,16,3,True,False,False,0.0,0.0,0.0,1.0,0.0,4.51195,1.3,-4.676753
0,17,3,True,False,False,0.0,0.0,0.0,1.0,0.0,6.87445,3.625,-5.3431
0,18,3,True,False,False,0.0,0.0,0.0,1.0,0.0,6.96195,8.525,-5.5931
0,19,0,True,False,False,0.0,0.0,0.0,0.0,0.0,10.9942,-0.15,-2.8431
0,20,3,True,False,False,0.0,0.0,0.0,1.0,0.0,12.003535,1.3,-8.130628
0,21,4,True,False,False,0.0,0.0,0.0,0.0,1.0,6.96195,8.525,-8.8181
0,22,0,True,False,False,0.0,0.0,0.0,0.0,0.0,2.7442,-0.15,-8.092
0,23,0,True,False,False,0.0,0.0,0.0,0.0,0.0,13.7442,-0.15,-2.8431
0,24,3,False,True,False,0.0,0.0,0.0,1.0,0.0,5.98445,1.3,-6.8431
0,25,3,False,True,False,0.0,0.0,0.0,1.0,0.0,9.409126,6.075,-5.706875
0,26,1,False,True,False,0.0,1.0,0.0,0.0,0.0,2.7442,1.2,-8.092
0,27,1,False,False,True,0.0,1.0,0.0,0.0,0.0,8.2442,1.2,-2.8431
0,28,1,False,False,True,0.0,1.0,0.0,0.0,0.0,10.9942,1.2,-2.8431
0,29,1,False,False,True,0.0,1.0,0.0,0.0,0.0,13.7442,1.2,-2.8431
0,30,1,False,False,True,0.0,1.0,0.0,0.0,0.0,5.4942,1.2,-2.8431
